"","baseline_eir","scenario_number","archetype","drug_type","Scenario","cost.CHW","cost.RDT","cost.drug","cost.ACT","cost.smc","cost.facility","cost.severe","cost.bednet","cost.iver","cost.prim","cost.CHW.d","cost.RDT.d","cost.drug.d","cost.facility.d","cost.severe.d","cost.d","cost.smc.ref","cost.smc.low","cost.low","cost","cases"
"1",1,42,"Southern","None","Southern_42_1",0,205.225924684267,0,91.4791241747782,0,3879.87538484606,1009.83232890789,13691.520443361,0,0,0,205.225924684267,0,3879.87538484606,1009.83232890789,18877.933205974,0,0,18877.933205974,18877.933205974,3373.39999783328
"2",1,43,"Southern","None","Southern_43_1",0,359.246354253543,0,159.999256714535,0,6760.01452573325,904.573198380331,13691.520443361,0,0,0,359.246354253543,0,6760.01452573325,904.573198380331,21875.3537784427,0,0,21875.3537784427,21875.3537784427,3247.99999905152
"3",3,42,"Southern","None","Southern_42_3",0,355.19231105744,0,158.215861329827,0,6699.69344025669,1622.60523283846,13691.520443361,0,0,0,355.19231105744,0,6699.69344025669,1622.60523283846,22527.2272888435,0,0,22527.2272888435,22527.2272888435,4374.39999235273
"4",1,38,"Southern","DP","Southern_38_1",5200.81664625704,136.066053032529,1410.41673390693,60.5344865788966,0,2562.95706355056,570.784679752208,13691.520443361,0,0,5200.81664625704,136.066053032529,1410.41673390693,2562.95706355056,570.784679752208,23633.0961064392,0,0,23633.0961064392,23633.0961064392,2317.19998839237
"5",10,42,"Southern","None","Southern_42_10",0,449.004591438646,0,199.986960193212,0,8467.24314948787,2052.28341506584,13691.520443361,0,0,0,449.004591438646,0,8467.24314948787,2052.28341506584,24860.0385595466,0,0,24860.0385595466,24860.0385595466,5047.1999955015
"6",1,33,"Southern","DP","Southern_33_1",4172.13517535684,294.880280734153,1132.03184530394,131.597628124473,0,5536.88172696976,156.44681987034,13691.520443361,0,0,4172.13517535684,294.880280734153,1132.03184530394,5536.88172696976,156.44681987034,25115.4939197205,0,0,25115.4939197205,25115.4939197205,1403.19999822914
"7",1,44,"Southern","None","Southern_44_1",0,555.298734662797,0,247.300964300995,0,10465.2974410257,667.417575123888,13691.520443361,0,0,0,555.298734662797,0,10465.2974410257,667.417575123888,25626.8351584744,0,0,25626.8351584744,25626.8351584744,3338.60000284908
"8",1,53,"Southern","DP","Southern_53_1",3449.74831469553,362.58171345552,936.436848522828,162.114675128554,0,7033.27279590761,152.682254335425,13691.520443361,0,0,3449.74831469553,362.58171345552,936.436848522828,7033.27279590761,152.682254335425,25788.3570454065,0,0,25788.3570454065,25788.3570454065,1473.80000127744
"9",1,39,"Southern","DP","Southern_39_1",5166.79429825251,254.322209863805,1402.65976565367,113.369147337504,0,4820.23815317223,548.461707929031,13691.520443361,0,0,5166.79429825251,254.322209863805,1402.65976565367,4820.23815317223,548.461707929031,25997.3657255698,0,0,25997.3657255698,25997.3657255698,2268.79998718025
"10",1,30,"Southern","None","Southern_30_1",0,594.842997878091,0,265.285790141133,0,11247.6679878532,319.669208921315,13691.520443361,0,0,0,594.842997878091,0,11247.6679878532,319.669208921315,26118.9864281548,0,0,26118.9864281548,26118.9864281548,2584.00000143198
