w1,w2,w3,d1,d2,d3,scenario_number
0.0,6.0,12.0,7,49,91,0
0.0,6.0,13.0,7,49,98,1
0.0,6.0,14.0,7,49,105,2
0.0,6.0,15.0,7,49,112,3
0.0,6.0,16.0,7,49,119,4
0.0,6.0,17.0,7,49,126,5
0.0,6.0,18.0,7,49,133,6
0.0,6.0,19.0,7,49,140,7
0.0,6.0,20.0,7,49,147,8
0.0,6.0,21.0,7,49,154,9
0.0,6.0,22.0,7,49,161,10
0.0,6.0,23.0,7,49,168,11
0.0,6.0,24.0,7,49,175,12
0.0,6.0,25.0,7,49,182,13
0.0,6.0,26.0,7,49,189,14
0.0,6.0,27.0,7,49,196,15
0.0,6.0,28.0,7,49,203,16
0.0,6.0,29.0,7,49,210,17
0.0,6.0,30.0,7,49,217,18
0.0,6.0,31.0,7,49,224,19
0.0,6.0,32.0,7,49,231,20
0.0,6.0,33.0,7,49,238,21
0.0,6.0,34.0,7,49,245,22
0.0,6.0,35.0,7,49,252,23
0.0,6.0,36.0,7,49,259,24
0.0,6.0,37.0,7,49,266,25
0.0,6.0,38.0,7,49,273,26
0.0,6.0,39.0,7,49,280,27
0.0,6.0,40.0,7,49,287,28
0.0,6.0,41.0,7,49,294,29
0.0,6.0,42.0,7,49,301,30
0.0,6.0,43.0,7,49,308,31
0.0,6.0,44.0,7,49,315,32
0.0,6.0,45.0,7,49,322,33
0.0,7.0,13.0,7,56,98,34
0.0,7.0,14.0,7,56,105,35
0.0,7.0,15.0,7,56,112,36
0.0,7.0,16.0,7,56,119,37
0.0,7.0,17.0,7,56,126,38
0.0,7.0,18.0,7,56,133,39
0.0,7.0,19.0,7,56,140,40
0.0,7.0,20.0,7,56,147,41
0.0,7.0,21.0,7,56,154,42
0.0,7.0,22.0,7,56,161,43
0.0,7.0,23.0,7,56,168,44
0.0,7.0,24.0,7,56,175,45
0.0,7.0,25.0,7,56,182,46
0.0,7.0,26.0,7,56,189,47
0.0,7.0,27.0,7,56,196,48
0.0,7.0,28.0,7,56,203,49
0.0,7.0,29.0,7,56,210,50
0.0,7.0,30.0,7,56,217,51
0.0,7.0,31.0,7,56,224,52
0.0,7.0,32.0,7,56,231,53
0.0,7.0,33.0,7,56,238,54
0.0,7.0,34.0,7,56,245,55
0.0,7.0,35.0,7,56,252,56
0.0,7.0,36.0,7,56,259,57
0.0,7.0,37.0,7,56,266,58
0.0,7.0,38.0,7,56,273,59
0.0,7.0,39.0,7,56,280,60
0.0,7.0,40.0,7,56,287,61
0.0,7.0,41.0,7,56,294,62
0.0,7.0,42.0,7,56,301,63
0.0,7.0,43.0,7,56,308,64
0.0,7.0,44.0,7,56,315,65
0.0,7.0,45.0,7,56,322,66
0.0,8.0,14.0,7,63,105,67
0.0,8.0,15.0,7,63,112,68
0.0,8.0,16.0,7,63,119,69
0.0,8.0,17.0,7,63,126,70
0.0,8.0,18.0,7,63,133,71
0.0,8.0,19.0,7,63,140,72
0.0,8.0,20.0,7,63,147,73
0.0,8.0,21.0,7,63,154,74
0.0,8.0,22.0,7,63,161,75
0.0,8.0,23.0,7,63,168,76
0.0,8.0,24.0,7,63,175,77
0.0,8.0,25.0,7,63,182,78
0.0,8.0,26.0,7,63,189,79
0.0,8.0,27.0,7,63,196,80
0.0,8.0,28.0,7,63,203,81
0.0,8.0,29.0,7,63,210,82
0.0,8.0,30.0,7,63,217,83
0.0,8.0,31.0,7,63,224,84
0.0,8.0,32.0,7,63,231,85
0.0,8.0,33.0,7,63,238,86
0.0,8.0,34.0,7,63,245,87
0.0,8.0,35.0,7,63,252,88
0.0,8.0,36.0,7,63,259,89
0.0,8.0,37.0,7,63,266,90
0.0,8.0,38.0,7,63,273,91
0.0,8.0,39.0,7,63,280,92
0.0,8.0,40.0,7,63,287,93
0.0,8.0,41.0,7,63,294,94
0.0,8.0,42.0,7,63,301,95
0.0,8.0,43.0,7,63,308,96
0.0,8.0,44.0,7,63,315,97
0.0,8.0,45.0,7,63,322,98
0.0,9.0,15.0,7,70,112,99
0.0,9.0,16.0,7,70,119,100
0.0,9.0,17.0,7,70,126,101
0.0,9.0,18.0,7,70,133,102
0.0,9.0,19.0,7,70,140,103
0.0,9.0,20.0,7,70,147,104
0.0,9.0,21.0,7,70,154,105
0.0,9.0,22.0,7,70,161,106
0.0,9.0,23.0,7,70,168,107
0.0,9.0,24.0,7,70,175,108
0.0,9.0,25.0,7,70,182,109
0.0,9.0,26.0,7,70,189,110
0.0,9.0,27.0,7,70,196,111
0.0,9.0,28.0,7,70,203,112
0.0,9.0,29.0,7,70,210,113
0.0,9.0,30.0,7,70,217,114
0.0,9.0,31.0,7,70,224,115
0.0,9.0,32.0,7,70,231,116
0.0,9.0,33.0,7,70,238,117
0.0,9.0,34.0,7,70,245,118
0.0,9.0,35.0,7,70,252,119
0.0,9.0,36.0,7,70,259,120
0.0,9.0,37.0,7,70,266,121
0.0,9.0,38.0,7,70,273,122
0.0,9.0,39.0,7,70,280,123
0.0,9.0,40.0,7,70,287,124
0.0,9.0,41.0,7,70,294,125
0.0,9.0,42.0,7,70,301,126
0.0,9.0,43.0,7,70,308,127
0.0,9.0,44.0,7,70,315,128
0.0,9.0,45.0,7,70,322,129
0.0,10.0,16.0,7,77,119,130
0.0,10.0,17.0,7,77,126,131
0.0,10.0,18.0,7,77,133,132
0.0,10.0,19.0,7,77,140,133
0.0,10.0,20.0,7,77,147,134
0.0,10.0,21.0,7,77,154,135
0.0,10.0,22.0,7,77,161,136
0.0,10.0,23.0,7,77,168,137
0.0,10.0,24.0,7,77,175,138
0.0,10.0,25.0,7,77,182,139
0.0,10.0,26.0,7,77,189,140
0.0,10.0,27.0,7,77,196,141
0.0,10.0,28.0,7,77,203,142
0.0,10.0,29.0,7,77,210,143
0.0,10.0,30.0,7,77,217,144
0.0,10.0,31.0,7,77,224,145
0.0,10.0,32.0,7,77,231,146
0.0,10.0,33.0,7,77,238,147
0.0,10.0,34.0,7,77,245,148
0.0,10.0,35.0,7,77,252,149
0.0,10.0,36.0,7,77,259,150
0.0,10.0,37.0,7,77,266,151
0.0,10.0,38.0,7,77,273,152
0.0,10.0,39.0,7,77,280,153
0.0,10.0,40.0,7,77,287,154
0.0,10.0,41.0,7,77,294,155
0.0,10.0,42.0,7,77,301,156
0.0,10.0,43.0,7,77,308,157
0.0,10.0,44.0,7,77,315,158
0.0,10.0,45.0,7,77,322,159
0.0,11.0,17.0,7,84,126,160
0.0,11.0,18.0,7,84,133,161
0.0,11.0,19.0,7,84,140,162
0.0,11.0,20.0,7,84,147,163
0.0,11.0,21.0,7,84,154,164
0.0,11.0,22.0,7,84,161,165
0.0,11.0,23.0,7,84,168,166
0.0,11.0,24.0,7,84,175,167
0.0,11.0,25.0,7,84,182,168
0.0,11.0,26.0,7,84,189,169
0.0,11.0,27.0,7,84,196,170
0.0,11.0,28.0,7,84,203,171
0.0,11.0,29.0,7,84,210,172
0.0,11.0,30.0,7,84,217,173
0.0,11.0,31.0,7,84,224,174
0.0,11.0,32.0,7,84,231,175
0.0,11.0,33.0,7,84,238,176
0.0,11.0,34.0,7,84,245,177
0.0,11.0,35.0,7,84,252,178
0.0,11.0,36.0,7,84,259,179
0.0,11.0,37.0,7,84,266,180
0.0,11.0,38.0,7,84,273,181
0.0,11.0,39.0,7,84,280,182
0.0,11.0,40.0,7,84,287,183
0.0,11.0,41.0,7,84,294,184
0.0,11.0,42.0,7,84,301,185
0.0,11.0,43.0,7,84,308,186
0.0,11.0,44.0,7,84,315,187
0.0,11.0,45.0,7,84,322,188
0.0,12.0,18.0,7,91,133,189
0.0,12.0,19.0,7,91,140,190
0.0,12.0,20.0,7,91,147,191
0.0,12.0,21.0,7,91,154,192
0.0,12.0,22.0,7,91,161,193
0.0,12.0,23.0,7,91,168,194
0.0,12.0,24.0,7,91,175,195
0.0,12.0,25.0,7,91,182,196
0.0,12.0,26.0,7,91,189,197
0.0,12.0,27.0,7,91,196,198
0.0,12.0,28.0,7,91,203,199
0.0,12.0,29.0,7,91,210,200
0.0,12.0,30.0,7,91,217,201
0.0,12.0,31.0,7,91,224,202
0.0,12.0,32.0,7,91,231,203
0.0,12.0,33.0,7,91,238,204
0.0,12.0,34.0,7,91,245,205
0.0,12.0,35.0,7,91,252,206
0.0,12.0,36.0,7,91,259,207
0.0,12.0,37.0,7,91,266,208
0.0,12.0,38.0,7,91,273,209
