archetype,scenario_number,iptsc_on,delivery_mode,campaign_timing,screen_type,drug_type,out_of_school_rate,ivermectin,primaquine,itn_coverage,hs_rate,smc_on,smc_coverage,comments
Southern,0,FALSE,None,None,None,None,0.2,FALSE,FALSE,0.7,0.6,FALSE,None,No IPTsc
Southern,1,FALSE,None,None,None,None,0.2,FALSE,FALSE,0.7,1,FALSE,None,No IPTsc - 100% HS
Southern,2,FALSE,None,None,None,None,0.2,FALSE,FALSE,0.7,0.8,FALSE,None,No IPTsc - 80% HS
Southern,3,FALSE,None,None,None,None,0.2,FALSE,FALSE,0.7,0.4,FALSE,None,No IPTsc - 40% HS
Southern,4,FALSE,None,None,None,None,0.2,FALSE,FALSE,0.7,0.2,FALSE,None,No IPTsc - 20% HS
Southern,5,FALSE,None,None,None,None,0.2,FALSE,FALSE,0.9,0.6,FALSE,None,No IPTsc - higher ITN
Southern,6,TRUE,school,term,IPT,ASAQ,0.2,FALSE,FALSE,0.7,0.6,FALSE,None,IPT - ASAQ term
Southern,7,TRUE,school,month,IPT,ASAQ,0.2,FALSE,FALSE,0.7,0.6,FALSE,None,IPT - ASAQ month
Southern,8,TRUE,school,term,IPT,DP,0.2,FALSE,FALSE,0.7,0.6,FALSE,None,IPT - DP term
Southern,9,TRUE,school,month,IST,DP,0.2,FALSE,FALSE,0.7,0.6,FALSE,None,IPT - DP month
Southern,10,TRUE,school,term,IST,ASAQ,0.2,FALSE,FALSE,0.7,0.6,FALSE,None,IST - ASAQ term
Southern,11,TRUE,school,month,IST,ASAQ,0.2,FALSE,FALSE,0.7,0.6,FALSE,None,IST - ASAQ month
Southern,12,TRUE,school,term,IST,DP,0.2,FALSE,FALSE,0.7,0.6,FALSE,None,IST - DP term
Southern,13,TRUE,school,month,IST,DP,0.2,FALSE,FALSE,0.7,0.6,FALSE,None,IST - DP month
Southern,14,TRUE,school,term,IPT,ASAQ,0.2,TRUE,FALSE,0.7,0.6,FALSE,None,IPT - ASAQ term - ivermectin
Southern,15,TRUE,school,month,IPT,ASAQ,0.2,TRUE,FALSE,0.7,0.6,FALSE,None,IPT - ASAQ month - ivermectin
Southern,16,TRUE,school,term,IPT,DP,0.2,TRUE,FALSE,0.7,0.6,FALSE,None,IPT - DP term - ivermectin
Southern,17,TRUE,school,month,IST,DP,0.2,TRUE,FALSE,0.7,0.6,FALSE,None,IPT - DP month - ivermectin
Southern,18,TRUE,school,term,IPT,ASAQ,0.2,FALSE,TRUE,0.7,0.6,FALSE,None,IPT - ASAQ term - primaquine
Southern,19,TRUE,school,month,IPT,ASAQ,0.2,FALSE,TRUE,0.7,0.6,FALSE,None,IPT - ASAQ month - primaquine
